species,fishreg,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
ABZ,37_2,TLW,EU28	0.068 	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_2,TLW,MT	0.068 	0.031 	0.05 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_2_2,TLW,EU27_2020	0.068 	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_2_2,TLW,EU28	0.068 	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_2_2,TLW,MT	0.068 	0.031 	0.05 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37,TLW,EU27_2020	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37,TLW,EU28	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37,TLW,IT	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37_2,TLW,EU27_2020	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37_2,TLW,EU28	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37_2,TLW,IT	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37_2_1,TLW,EU27_2020	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37_2_1,TLW,EU28	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,37_2_1,TLW,IT	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37,TLW,ES	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37,TLW,EU27_2020	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37,TLW,EU28	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37_1,TLW,ES	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37_1,TLW,EU27_2020	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37_1,TLW,EU28	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37_1_1,TLW,ES	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37_1_1,TLW,EU27_2020	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37_1_1,TLW,EU28	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,ES	: 	0.01 	: 	: 	0 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,EU27_2020	0.2 p	0.11 p	9.2 	11.4 	22.3 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,EU28	0.2 p	0.11 p	9.2 	11.4 	22.3 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,IT	0.2 p	0.1 p	9.2 	11.4 	22.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1,TLW,ES	: 	0.01 	: 	: 	0 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1,TLW,EU27_2020	0.2 p	0.11 p	9.2 	11.4 	21.9 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1,TLW,EU28	0.2 p	0.11 p	9.2 	11.4 	21.9 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1,TLW,IT	0.2 p	0.1 p	9.2 	11.4 	21.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1_1,TLW,ES	: 	0.01 	: 	: 	0 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1_1,TLW,EU27_2020	: 	0.01 	: 	: 	0 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1_1,TLW,EU28	: 	0.01 	: 	: 	0 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1_3,TLW,EU27_2020	0.2 p	0.1 p	9.2 	11.4 	21.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1_3,TLW,EU28	0.2 p	0.1 p	9.2 	11.4 	21.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_1_3,TLW,IT	0.2 p	0.1 p	9.2 	11.4 	21.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2,TLW,EU27_2020	0 p	0 p	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2,TLW,EU28	0 p	0 p	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2,TLW,IT	0 p	0 p	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2_1,TLW,EU27_2020	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2_1,TLW,EU28	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2_1,TLW,IT	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2_2,TLW,EU27_2020	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2_2,TLW,EU28	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37_2_2,TLW,IT	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,ES	0 	: 	: 	: 	: 	: 	0.02 	0.07 	0.17 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,EU27_2020	0 	0.194 p	0.068 	0.227 	0.081 	0.305 	0.28 	0.21 	0.22 	0.1 	0.01 	0.11 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,EU28	0 	0.194 p	0.068 	0.227 	0.081 	0.305 	0.28 	0.21 	0.22 	0.1 	0.01 	0.11 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,FR	: 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.26 	0.14 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,MT	: 	: 	0.02 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1,TLW,ES	0 	: 	: 	: 	: 	: 	0.02 	0.07 	0.17 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1,TLW,EU27_2020	0 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.28 	0.21 	0.22 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1,TLW,EU28	0 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.28 	0.21 	0.22 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1,TLW,FR	: 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.26 	0.14 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_1,TLW,ES	0 	: 	: 	: 	: 	: 	0.02 	0.07 	0.17 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_1,TLW,EU27_2020	0 	: 	: 	: 	: 	: 	0.02 	0.07 	0.17 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_1,TLW,EU28	0 	: 	: 	: 	: 	: 	0.02 	0.07 	0.17 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_2,TLW,EU27_2020	: 	: 	: 	: 	: 	: 	0.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_2,TLW,EU28	: 	: 	: 	: 	: 	: 	0.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_2,TLW,FR	: 	: 	: 	: 	: 	: 	0.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_3,TLW,EU27_2020	: 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.11 	0.14 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_3,TLW,EU28	: 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.11 	0.14 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_1_3,TLW,FR	: 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.11 	0.14 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_2,TLW,EU27_2020	: 	: 	0.019 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_2,TLW,EU28	: 	: 	0.019 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_2,TLW,MT	: 	: 	0.02 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_2_2,TLW,EU27_2020	: 	: 	0.019 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_2_2,TLW,EU28	: 	: 	0.019 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37_2_2,TLW,MT	: 	: 	0.02 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,ES	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,EU27_2020	3.0126 p	5.9103 	5.9463 	8.1714 	5.2008 	6.3554 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,EU28	3.0126 p	5.9103 	5.946 	8.1714 	5.2008 	6.3554 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,HR	2.8926 	5.2 	5.95 	8.1714 	5.2008 	6.3454 	9.35 	6.23 	12.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,IT	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,SI	0 	0 n	: 	0 	0 	0 	0 	1.13 	1.51 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_1,TLW,ES	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1,TLW,EU27_2020	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1,TLW,EU28	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1_1,TLW,ES	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1_1,TLW,EU27_2020	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1_1,TLW,EU28	0.12 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,EU27_2020	2.8926 p	5.2003 	5.9463 	8.1714 	5.2008 	6.3454 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,EU28	2.8926 p	5.2003 	5.946 	8.1714 	5.2008 	6.3454 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,HR	2.8926 	5.2 	5.95 	8.1714 	5.2008 	6.3454 	9.35 	6.23 	12.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,IT	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,SI	0 	0 n	: 	0 	0 	0 	0 	1.13 	1.51 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,EU27_2020	2.8926 p	5.2003 	5.9463 	8.1714 	5.2008 	6.3454 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,EU28	2.8926 p	5.2003 	5.946 	8.1714 	5.2008 	6.3454 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,HR	2.8926 	5.2 	5.95 	8.1714 	5.2008 	6.3454 	9.35 	6.23 	12.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,IT	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,SI	0 	0 n	: 	0 	0 	0 	0 	1.13 	1.51 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AJH,37,TLW,EU27_2020	0.5541 	0.6506 	0.7295 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37,TLW,EU28	0.5541 	0.6506 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37,TLW,HR	0.5541 	0.651 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2,TLW,EU27_2020	0.5541 	0.6506 	0.7295 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2,TLW,EU28	0.5541 	0.6506 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2,TLW,HR	0.5541 	0.651 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2_1,TLW,EU27_2020	0.5541 	0.6506 	0.7295 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2_1,TLW,EU28	0.5541 	0.6506 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2_1,TLW,HR	0.5541 	0.651 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37,TLW,ES	13.72 	5.26 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37,TLW,EU27_2020	13.72 	5.26 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37,TLW,EU28	13.72 	5.26 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1,TLW,ES	13.72 	5.26 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1,TLW,EU27_2020	13.72 	5.26 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1,TLW,EU28	13.72 	5.26 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_1,TLW,ES	13.72 	5.26 	4.24 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_1,TLW,EU27_2020	13.72 	5.26 	4.24 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_1,TLW,EU28	13.72 	5.26 	4.24 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_2,TLW,ES	: 	: 	0.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_2,TLW,EU27_2020	: 	: 	0.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_2,TLW,EU28	: 	: 	0.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37,TLW,CY	654.559 	628.317 	570.891 	573.1 	511.385 	397.817 	359.1 	317.5316 	243.2 	231.2 	240.2 	240 	620.1 	506.8 	394.9 	250 	30 	12 	0 	6 
ALB,37,TLW,EL	286.37 p	545.4 	638.89 	1229.71 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1840 	1786 
ALB,37,TLW,ES	66.33 	79.35 	217.37 	67.18 	58.88 	297.55 	256.14 	422.01 	356.48 	356.9 	220.51 	191 	211 	204.7 	68.4 	32.9 	1 	209 	200 	152 
ALB,37,TLW,EU27_2020	2385.4752 p	2406.3063 p	2781.5997 	3425.4028 	2742.5912 	2157.435 	1280.328 	1924.8958 	3117.99 	2469.4 	3261.53 	2533.2 	4921.3 	5310.02 	2894.7 	283.91 	6943 	4256 	4866 	5578 
ALB,37,TLW,EU28	2385.4752 p	2406.3063 p	2781.6 	3425.4028 	2742.5912 	2157.435 	1280.328 	1924.8958 	3117.99 	2469.4 	3261.53 	2533.2 	4921.3 	5310.02 	2894.7 	283.91 	6943 	4256 	4866 	5578 
ALB,37,TLW,FR	15.007 p	3.827 p	0.895 	1.298 	1.2 	0.64 	0.41 	1.35 	2.5 	: 	0.02 	: 	: 	0.01 	0.4 	1 	0 	1 	0 	0 
ALB,37,TLW,HR	0.9812 	1.711 	1.93 	6.6608 	11.5752 	29.584 	20.28 	11.83 	6.97 	1.9 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37,TLW,IT	1287.1 p	1044.1 p	1348.4 	1491.1 	1602.3 	1353.1 	615.3 	1153.6 	2503.9 	1876.9 	2799.1 	2097.5 	4088.7 	4584 	2431 	0 	6912 	4032 	2826 	3630 
ALB,37,TLW,MT	75.128 	103.601 	3.22 	56.354 	37.181 	62.024 	29.098 	18.5742 	4.94 	2.5 	1.4 	4.7 	1.5 	14.5 	0 	0 	0 	2 	0 	4 
ALB,37,TLW,PT	: 	: 	: 	: 	: 	16.72 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	: 	: 	: 	: 
ALB,37,TLW,TR	4.4 	37.8 	44 e	25.2 	53.4 	0.3 	70.6 	61.7 	1395.7 	804 	1262 	416 	1704 	73 	30 	27 	0 	0 	0 	0 
ALB,37_1,TLW,ES	66.33 	79.35 	214.51 	67.18 	58.88 	142.21 	208.94 	422.01 	356.48 	356.9 	220.51 	191 	211 	204.7 	68.4 	32.9 	: 	: 	: 	: 
ALB,37_1,TLW,EU27_2020	372.437 p	243.577 p	439.705 	483.178 	503.38 	410.47 	462.25 	980.16 	1126.38 	844.7 	959.93 	590 	1402.3 	2117.72 	1336.8 	33.91 	: 	: 	: 	: 
ALB,37_1,TLW,EU28	372.437 p	243.577 p	439.705 	483.178 	503.38 	410.47 	462.25 	980.16 	1126.38 	844.7 	959.93 	590 	1402.3 	2117.72 	1336.8 	33.91 	: 	: 	: 	: 
ALB,37_1,TLW,FR	15.007 p	3.827 p	0.895 	1.298 	1.2 	0.64 	0.41 	1.35 	2.5 	: 	0.02 	: 	: 	0.01 	0.4 	1 	: 	: 	: 	: 
ALB,37_1,TLW,IT	291.1 p	160.4 p	224.3 	414.7 	443.3 	250.9 	252.9 	556.8 	767.4 	487.8 	739.4 	399 	1191.3 	1913 	1268 	: 	: 	: 	: 	: 
ALB,37_1,TLW,PT	: 	: 	: 	: 	: 	16.72 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	: 	: 	: 	: 
ALB,37_1_1,TLW,ES	66.33 	79.12 	213.8 	67.03 	57.59 	132.31 	207.88 	422 	356.3 	356.8 	218.7 	190 	207.3 	200.3 	67.6 	32.9 	: 	: 	: 	: 
ALB,37_1_1,TLW,EU27_2020	66.33 	79.12 	213.8 	67.03 	57.59 	149.03 	207.88 	422 	356.3 	356.8 	218.7 	190 	207.3 	200.31 	67.6 	32.91 	: 	: 	: 	: 
ALB,37_1_1,TLW,EU28	66.33 	79.12 	213.8 	67.03 	57.59 	149.03 	207.88 	422 	356.3 	356.8 	218.7 	190 	207.3 	200.31 	67.6 	32.91 	: 	: 	: 	: 
ALB,37_1_1,TLW,PT	: 	: 	: 	: 	: 	16.72 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	: 	: 	: 	: 
ALB,37_1_2,TLW,ES	: 	0.23 	0.71 	0.15 	1.29 	1.91 	0.49 	0.01 	0.18 	0.1 	1.8 	1 	: 	4.4 	0.8 	: 	: 	: 	: 	: 
ALB,37_1_2,TLW,EU27_2020	11.203 p	3.315 p	1.37 	0.299 	2.15 	2.03 	0.58 	0.64 	0.42 	0.1 	1.81 	1 	: 	4.41 	1.2 	1 	: 	: 	: 	: 
ALB,37_1_2,TLW,EU28	11.203 p	3.315 p	1.37 	0.299 	2.15 	2.03 	0.58 	0.64 	0.42 	0.1 	1.81 	1 	: 	4.41 	1.2 	1 	: 	: 	: 	: 
ALB,37_1_2,TLW,FR	11.203 p	3.085 p	0.66 	0.149 	0.86 	0.12 	0.09 	0.63 	0.24 	: 	0.01 	: 	: 	0.01 	0.4 	1 	: 	: 	: 	: 
ALB,37_1_3,TLW,ES	: 	: 	: 	: 	: 	7.99 	0.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_1_3,TLW,EU27_2020	294.904 p	161.142 p	224.535 	415.849 	443.64 	259.41 	253.79 	557.52 	769.66 	487.8 	739.41 	399 	1191.3 	1913 	1268 	: 	: 	: 	: 	: 
