MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;commentsFinal;areaBis;speciesIncluded;area_new;areaBis_new;region_new
DNK;2016-2018;Anguilla anguilla;North Atlantic;ICES;all areas;-;-;-;-;-;( Gule Ål );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Anguilla anguilla;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Anguilla anguilla;Baltic Sea;ICES;22-32;Y;186;-;41%;N;( Gule Ål );27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;Anguilla anguilla;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;Baltic Sea
DNK;2016-2018;Anguilla anguilla;North Sea and Eastern Arctic;ICES;IV, VIId;Y;14;-;48%;N;( Gule Ål );27_4,27_7_D;Anguilla anguilla;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Antimora rostrata;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Antimora rostrata;South-East Atlantic;47;Other regions
DNK;2016-2018;Aphanopus spp;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Aphanopus spp,Aphanopus intermedius,Aphanopus carbo;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Argentina spp;North Atlantic;ICES;all areas;-;-;-;-;-;( Strømsildarter );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F27_7_G;Argentina spp,Argentina sphyraena,Argentina silus,Argentina kagoshimae,Argentina elongata;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F27_7_G;North Atlantic
DNK;2016-2018;Argentina spp;North Sea and Eastern Arctic;ICES;IV;N;122;89%;40%;Y;( Strømsildarter ) | FIDES Initial.Quantity = 1093;27_4;Argentina spp,Argentina sphyraena,Argentina silus,Argentina kagoshimae,Argentina elongata;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Argyrosomus regius;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Argyrosomus regius;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Ariidae;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Ariidae;French Guyana;31;Other regions
DNK;2016-2018;Aspitrigla cuculus;North Atlantic;ICES;all areas;-;-;-;-;-;( Tværstribet knurhane );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Aspitrigla cuculus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Aspitrigla cuculus;North Sea and Eastern Arctic;ICES;IIIa;-;-;-;-;-;( Tværstribet knurhane );27_3_A;Aspitrigla cuculus;IIIa;27_3_A;North Sea and Eastern Arctic
DNK;2016-2018;Auxis rochei;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Auxis rochei;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Auxis rochei;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;;21,31,27,34,37;Auxis rochei;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Auxis thazard;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;( Auxide );21,31,27,34,37;Auxis thazard;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Auxis thazard;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;( Auxide );51,57;Auxis thazard;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Bathyraja richardsoni;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Bathyraja richardsoni;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Bathyraja spinicauda;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Bathyraja spinicauda;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Beryx sp.;Other regions;NAFO 6G;21;-;-;-;-;-;;;Beryx sp.;21;;Other regions
DNK;2016-2018;Beryx spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;( Beryxarter );47;Beryx spp,Beryx splendens,Beryx decadactylus;South-East Atlantic;47;Other regions
DNK;2016-2018;Beryx spp;North Atlantic;ICES;IXa and X;-;-;-;-;-;( Beryxarter );27_9_A,27_10;Beryx spp,Beryx splendens,Beryx decadactylus;IXa and X;27_9_A,27_10;North Atlantic
DNK;2016-2018;Beryx spp;North Atlantic;ICES;all areas excluding X and IXa;-;-;-;-;-;( Beryxarter );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9_B,27_12,27_14;Beryx spp,Beryx splendens,Beryx decadactylus;all areas excluding X and IXa;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9_B,27_12,27_14;North Atlantic
DNK;2016-2018;Brachydeuterus spp;Other regions;CECAF;34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Brachydeuterus spp;34.1.3,34.3.1,34.3.3-6;34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Brosme brosme;North Sea and Eastern Arctic;ICES;IV;N;36;55%;40%;Y;( Brosme ) | FIDES Initial.Quantity = 233;27_4;Brosme brosme;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Brosme brosme;North Sea and Eastern Arctic;ICES;I-II;-;-;-;-;-;( Brosme );27_1,27_2;Brosme brosme;I-II;27_1,27_2;North Sea and Eastern Arctic
DNK;2016-2018;Cancer pagurus;North Atlantic;ICES;all areas;-;-;-;-;-;( Taskekrabbe );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Cancer pagurus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Capros aper;North Atlantic;ICES;V, VI, VII;Y;236;25%;2%;N;FIDES Initial.Quantity = 5001;27_5,27_6,27_7;Capros aper,Caproidae;V, VI, VII;27_5,27_6,27_7;North Atlantic
DNK;2016-2018;Caranx spp;Other regions;CECAF;34.3.1,34.3.3-6;-;-;-;-;-;;34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Caranx spp;34.3.1,34.3.3-6;34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Carcharhinus falciformes;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Carcharhinus falciformes;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Carcharhinus falciformis;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Carcharhinus falciformis;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Carcharhinus longimanus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Carcharhinus longimanus;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Carcharhinus longimanus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Carcharhinus longimanus;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Centrophorus squamosus;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Centrophorus squamosus;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Centropomus spp;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Centropomus spp;French Guyana;31;Other regions
DNK;2016-2018;Centroscymnus coelolepis;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Centroscymnus coelolepis;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Chaceon spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Chaceon spp;South-East Atlantic;47;Other regions
DNK;2016-2018;Champsocephalus gunnari;Other regions;CCAMLR;CCAMLR Convention Area;-;-;-;-;-;;48, 58, 88;Champsocephalus gunnari;CCAMLR Convention Area;48, 58, 88;Other regions
DNK;2016-2018;Chelidonichthys lucerna;North Sea and Eastern Arctic;ICES;IV;N;37;-;1%;Y;( Rød Knurhane );27_4;Chelidonichthys lucerna;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Chimaera monstrosa;North Atlantic;ICES;all areas;-;-;-;-;-;( Havmus );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Chimaera monstrosa;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Chimaera opalescens;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Chimaera opalescens;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Clupea harengus;Baltic Sea;ICES;Gulf of Riga;-;-;-;-;-;( Sild );27_3_D_28_1;Clupea harengus;Gulf of Riga;27_3_D_28_1;Baltic Sea
DNK;2016-2018;Clupea harengus;North Sea and Eastern Arctic;ICES;I-II;Y;15491;34%;51%;N;( Sild ) | FIDES Initial.Quantity = 9704;27_1,27_2;Clupea harengus;I-II;27_1,27_2;North Sea and Eastern Arctic
DNK;2016-2018;Clupea harengus;North Atlantic;ICES;VIIj;-;-;-;-;-;( Sild );27_7_J;Clupea harengus;VIIj;27_7_J;North Atlantic
DNK;2016-2018;Clupea harengus;North Atlantic;ICES;VIIa;-;-;-;-;-;( Sild );27_7_A;Clupea harengus;VIIa;27_7_A;North Atlantic
DNK;2016-2018;Clupea harengus;Baltic Sea;ICES;31;-;-;-;-;-;( Sild );27_3_D_31;Clupea harengus;31;27_3_D_31;Baltic Sea
DNK;2016-2018;Clupea harengus;North Sea and Eastern Arctic;ICES;IV, VIId;Y;122664;26%;31%;N;( Sild ) | FIDES Initial.Quantity = 113017;27_4,27_7_D;Clupea harengus;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Clupea harengus;North Atlantic;ICES;VIa;N;33;-;1%;Y;( Sild );27_6_A;Clupea harengus;VIa;27_6_A;North Atlantic
DNK;2016-2018;Clupea harengus;Baltic Sea;ICES;22-24;Y;5234;14%;22%;N;( Sild ) | FIDES Initial.Quantity = 2426;27_3_C_22,27_3_B_23,27_3_D_24;Clupea harengus;22-24;27_3_C_22,27_3_B_23,27_3_D_24;Baltic Sea
DNK;2016-2018;Clupea harengus;Baltic Sea;ICES;30;-;-;-;-;-;( Sild );27_3_D_30;Clupea harengus;30;27_3_D_30;Baltic Sea
DNK;2016-2018;Clupea harengus;North Atlantic;ICES;VIaS,VIIbc;N;33;-;1%;Y;( Sild );27_6_A,27_7_B,27_7_C;Clupea harengus;VIaS,VIIbc;27_6_A,27_7_B,27_7_C;North Atlantic
DNK;2016-2018;Clupea harengus;Baltic Sea;ICES;25-29,32;N;8603;2%;5%;Y;( Sild ) | Sum of MS shares <10% = 8% | FIDES Initial.Quantity = 5045;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32;Clupea harengus;25-29,32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32;Baltic Sea
DNK;2016-2018;Clupea harengus;North Sea and Eastern Arctic;ICES;22-24,IIIa;Y;8986;54%;20%;N;( Sild ) | FIDES Initial.Quantity = 25947;27_3_A,27_3_C_22,27_3_D_24;Clupea harengus;22-24,IIIa;27_3_A,27_3_C_22,27_3_D_24;North Sea and Eastern Arctic
DNK;2016-2018;Conger conger;North Atlantic;ICES;all areas excluding X;-;-;-;-;-;( Almindelig Havål );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14;Conger conger;all areas excluding X;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14;North Atlantic
DNK;2016-2018;Conger conger;North Atlantic;ICES;X;-;-;-;-;-;( Almindelig Havål );27_10;Conger conger;X;27_10;North Atlantic
DNK;2016-2018;Coregonus albula;Baltic Sea;ICES;22-32;-;-;-;-;-;;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;Coregonus albula;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;Baltic Sea
DNK;2016-2018;Coregonus lavaretus;Baltic Sea;ICES;IIId;-;-;-;-;-;( Helt );27_3_D;Coregonus lavaretus;IIId;27_3_D;Baltic Sea
DNK;2016-2018;Coryphaena hippurus;Other regions;IOTC;Runion et Mayotte;-;-;-;-;-;;51;Coryphaena hippurus;Runion et Mayotte;51;Other regions
DNK;2016-2018;Coryphaena hippurus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;;21,31,27,34,37;Coryphaena hippurus;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Coryphaena hippurus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Coryphaena hippurus;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Coryphaenoides rupestris;Other regions;NAFO SA0 + 1;21;-;-;-;-;-;( Skolæst );;Coryphaenoides rupestris;21;;Other regions
DNK;2016-2018;Coryphaenoides rupestris;North Atlantic;ICES;all areas;-;-;-;-;-;( Skolæst );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Coryphaenoides rupestris;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Coryphaenoides rupestris;North Sea and Eastern Arctic;ICES;IIIa;N;1;95%;94%;Y;( Skolæst ) | FIDES Initial.Quantity = 211;27_3_A;Coryphaenoides rupestris;IIIa;27_3_A;North Sea and Eastern Arctic
DNK;2016-2018;Crangon crangon;North Sea and Eastern Arctic;ICES;IV, VIId;Y;2141;-;6%;Y;( Hestereje ) | Selected due to high discard of flatfishes;27_4,27_7_D;Crangon crangon;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Cynoglossus spp;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Cynoglossus spp;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Cynoscion acoupa;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Cynoscion acoupa;French Guyana;31;Other regions
DNK;2016-2018;Cynoscion steindachneri;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Cynoscion steindachneri;French Guyana;31;Other regions
DNK;2016-2018;Cynoscion virescens;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Cynoscion virescens;French Guyana;31;Other regions
DNK;2016-2018;Dalatias licha;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Dalatias licha;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Dasyatis centroura;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Dasyatis centroura;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Dasyatis pastinaca;North Atlantic;ICES;VII, VIII;-;-;-;-;-;;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;Dasyatis pastinaca;VII, VIII;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;North Atlantic
DNK;2016-2018;Dasyatis pastinaca;North Atlantic;ICES;VII, VIII;-;-;-;-;-;;27_7,27_8;Dasyatis pastinaca;VII, VIII;27_7,27_8;North Atlantic
DNK;2016-2018;Dasyatis tortonesei;North Atlantic;ICES;VII, VIII;-;-;-;-;-;;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;Dasyatis tortonesei;VII, VIII;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;North Atlantic
DNK;2016-2018;Dasyatis tortonesei;North Sea and Eastern Arctic;ICES;all areas;-;-;-;-;-;;27_4,27_7_D;Dasyatis tortonesei;all areas;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Dasyatis violacea;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Dasyatis violacea;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Deania calcea;North Atlantic;ICES;V, VI, VII, IX, X, XII;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_9,27_10,27_12;Deania calcea;V, VI, VII, IX, X, XII;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_9,27_10,27_12;North Atlantic
DNK;2016-2018;Deania calcea;North Atlantic;ICES;V, VI, VII, IX, X, XII;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12;Deania calcea;V, VI, VII, IX, X, XII;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12;North Atlantic
DNK;2016-2018;Decapterus spp;Other regions;CECAF;34.3.1,34.3.3-6;-;-;-;-;-;;34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Decapterus spp;34.3.1,34.3.3-6;34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Dentex canariensis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Dentex canariensis;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Dentex congoensis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Dentex congoensis;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Dentex macrophthalmus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Dentex macrophthalmus;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Dentex maroccanus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Dentex maroccanus;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
