RCG,Metier_level6,Selection_panel_option,Old_code,Used_by_country_in_RDB,Total_n_trips_RDB_2009t2017
NSEA,SDN_DEF_>0_0_0,,SDN_DEF_>0_0_0,"BEL, FRA",640
NSEA,SSC_DEF_<16_0_0,,SSC_DEF_<16_0_0,"ENG, SCT",30
NSEA,SSC_DEF_16-31_0_0,,,,
NSEA,SSC_DEF_32-69_0_0,,SSC_DEF_32-69_0_0,"ENG, NLD, SCT",11
NSEA,SSC_DEF_70-89_0_0,,SSC_DEF_70-99_0_0,"BEL, DNK, ENG; NLD, SCT",10646
NSEA,SSC_DEF_90-99_0_0,,SSC_DEF_90-119_0_0,"DNK, NLD",11
NSEA,SSC_DEF_100-119_0_0,,SSC_DEF_100-119_0_0,"BEL, DNK, ENG, IRL, NLD, SCT",3150
NSEA,SSC_DEF_>=120_0_0,,SSC_DEF_>=120_0_0,"BEL, DEU, DNK, ENG, NIR; NLD, SCT",11692
NSEA,SSC_DEF_>0_0_0,,,,
NSEA,TBB_CRU_<16_0_0,,TBB_CRU_<16_0_0,"DEU, ENG, SCT",40
NSEA,TBB_CRU_16-31_0_0,,TBB_CRU_16-31_0_0,"BEL, DEU, DNK, ENG, FRA, NLD",202021
NSEA,TBB_CRU_32-69_0_0,TBB_CRU_32-69_2_35,TBB_CRU_32-69_0_0,"DNK, LTU, SCT",43
NSEA,TBB_CRU_70-89_0_0,TBB_CRU_70-89_2_35,"TBB_CRU_70-89_0_0, TBB_CRU_70-99_0_0","DEU, DNK, ENG, FRA, SCT",298
NSEA,TBB_CRU_90-99_0_0,,,,
NSEA,TBB_CRU_100-119_0_0,,TBB_CRU_100-119_0_0,ENG,20
NSEA,TBB_CRU_>=120_0_0,,TBB_CRU_>=120_0_0,"DEU, DNK, SCT",26
NSEA,TBB_CRU_>0_0_0,,TBB_CRU_0_0_0,FRA,19
NSEA,TBB_DEF_<16_0_0,,TBB_DEF_<16_0_0,"DEU, DNK, ENG, NLD, SCT",462
NSEA,TBB_DEF_16-31_0_0,,TBB_DEF_16-31_0_0,"DEU, DNK, ENG, FRA, NLD",60516
NSEA,TBB_DEF_32-69_0_0,,TBB_DEF_32-69_0_0,"DEU, ENG, FRA, NLD, SCT",76
NSEA,TBB_DEF_70-89_0_0,,"TBB_DEF_70-89_0_0, TBB_DEF_70-99_0_0","BEL, DEU, DNK, ENG, FRA, NLD, SCT, WLS",125262
NSEA,TBB_DEF_90-99_0_0,,TBB_DEF_90-119_0_0,"DNK, NLD",123
NSEA,TBB_DEF_100-119_0_0,,TBB_DEF_100-119_0_0,"BEL, DEU, DNK, ENG, FRA, NLD, SCT",3906
NSEA,TBB_DEF_>120_0_0,,TBB_DEF_>=120_0_0,"BEL, DNK, ENG, NLD, SCT",12857
NSEA,TBB_DEF_>0_0_0,,TBB_DEF_0_0_0,"DEU, FRA, NLD",49
NSEA,TBB_MCD_16-31_0_0,,TBB_MCD_16-31_0_0,NLD,1
NSEA,TBB_MCD_32-69_0_0,,,,
NSEA,TBB_MCD_70-89_0_0,,TBB_MCD_70-99_0_0,NLD,41
NSEA,TBB_MCD_90-99_0_0,,,,
NSEA,TBB_MCD_100-119_0_0,,,,
NSEA,TBB_MCD_>=120_0_0,,TBB_MCD_>=120_0_0,NLD,1
NSEA,TBB_MCD_>0_0_0,,,,
NSEA,TBB_MOL_>0_0_0,,TBB_MOL_0_0_0,DEU,161
NA,DRB_MOL_>0_0_0,,"DRB_MOL_>0_0_0, DRB_MOL_0_0_0, DRB_MOL_30_0_0","BEL, CHA, ENG, ESP, FRA, IRL, NIR, NLD, PRT, SCT, WLS",613270
NA,FPO_CAT_>0_0_0,,FPO_CAT_>0_0_0,FRA,130
NA,FPO_CRU_>0_0_0,,"FPO_CRU_>0_0_0, FPO_CRU_0_0_0, FPO_CRU_ALL_0_0","CHA, DEU, ENG, ESP, FRA, IRL, NIR, PRT, SCT, WLS",698757
NA,FPO_FIF_>0_0_0,,"FPO_FIF_>0_0_0, FPO_DEF_>0_0_0, FPO_FIF_0_0_0","ENG, ESP, FRA, NIR, SCT, WLS",23010
NA,FPO_MOL_>0_0_0,,"FPO_MOL_>0_0_0, FPO_MOL_0_0_0, FPO_MOL_>=29_0_0","CHA, ENG, ESP, FRA, IRL, NIR, PRT, SCT, WLS",444864
NA,FYK_CAT_>0_0_0,,FYK_CAT_0_0_0,FRA,680
NA,FYK_DEF_>0_0_0,,FYK_DEF_0_0_0,"ENG, FRA",44
NA,GND_DEF_10-30_0_0,,"GND_DEF_10-30_0_0, GND_DEF_<40_0_0","ENG, FRA, SCT",562
NA,GND_DEF_31-39_0_0,,GND_DEF_31-49_0_0,ENG,110
NA,GND_DEF_40-49_0_0,,GND_DEF_40-49_0_0,FRA,387
NA,GND_DEF_50-59_0_0,,"GND_DEF_50-59_0_0, GND_DEF_50-70_0_0","ENG, FRA",908
NA,GND_DEF_60-69_0_0,,GND_DEF_60-79_0_0,FRA,333
NA,GND_DEF_70-79_0_0,,GND_DEF_71-89_0_0,ENG,8
NA,GND_DEF_80-89_0_0,,GND_DEF_80-99_0_0,FRA,1685
NA,GND_DEF_90-99_0_0,,,,
NA,GND_DEF_100-119_0_0,,"GND_DEF_100-119_0_0, GND_DEF_>=100_0_0","ENG, FRA",2662
NA,GND_DEF_120-219_0_0,,GND_DEF_120-219_0_0,"ENG, FRA",16
NA,GND_DEF_>=220_0_0,,,,
NA,GND_DEF_>0_0_0,,GND_DEF_0_0_0,"ENG, FRA",881
NA,GND_SPF_10-30_0_0,,GND_SPF_10-30_0_0,ENG,658
NA,GND_SPF_31-39_0_0,,"GND_SPF_31-49_0_0, GND_SPF_<40_0_0","ENG, ESP, FRA",12578
NA,GND_SPF_40-49_0_0,,GND_SPF_40-49_0_0,FRA,6
NA,GND_SPF_50-59_0_0,,"GND_SPF_50-59_0_0, GND_SPF_50-70_0_0","ENG, FRA",1095
NA,GND_SPF_60-69_0_0,,,,
NA,GND_SPF_70-79_0_0,,GND_SPF_71-89_0_0,ENG,6
NA,GND_SPF_80-89_0_0,,,,
NA,GND_SPF_90-99_0_0,,GND_SPF_90-99_0_0,ENG,1
NA,GND_SPF_100-119_0_0,,"GND_SPF_100-119_0_0, GND_SPF_>=100_0_0","ENG, FRA",75
NA,GND_SPF_120-219_0_0,,GND_SPF_120-219_0_0,ENG,1
NA,GND_SPF_>=220_0_0,,,,
NA,GND_SPF_>0_0_0,,GND_SPF_0_0_0,ENG,237
NA,GNS_CAT_>0_0_0,,GNS_CAT_>0_0_0,FRA,136
NA,GNS_CRU_10-30_0_0,,GNS_CRU_10-30_0_0,ENG_FRA,6
NA,GNS_CRU_31-39_0_0,,"GNS_CRU_31-49_0_0, GNS_CRU_<40_0_0","ENG, FRA, WLS",6
NA,GNS_CRU_40-49_0_0,,GNS_CRU_40-49_0_0,FRA,10
NA,GNS_CRU_50-59_0_0,,"GNS_CRU_50-59_0_0, GNS_CRU_50-70_0_0","ENG, FRA, SCT",458
NA,GNS_CRU_60-69_0_0,,GNS_CRU_60-79_0_0,FRA,11
NA,GNS_CRU_70-79_0_0,,GNS_CRU_71-89_0_0,"ENG, WLS",34
NA,GNS_CRU_80-89_0_0,,GNS_CRU_80-99_0_0,FRA,73
NA,GNS_CRU_90-99_0_0,,GNS_CRU_90-99_0_0,"ENG, FRA, WLS",270
NA,GNS_CRU_100-119_0_0,,"GNS_CRU_100-119_0_0, GNS_CRU_>=100_0_0","ENG, FRA, NIR, SCT, WLS",2531
NA,GNS_CRU_120-219_0_0,,GNS_CRU_120-219_0_0,"CHA, ENG, FRA, NIR, SCT, WLS",4432
NA,GNS_CRU_>=220_0_0,,GNS_CRU_>=220_0_0,"DEU, ENG, FRA, NIR, SCT, WLS",13793
NA,GNS_CRU_>0_0_0,,"GNS_CRU_>0_0_0, GNS_CRU_0_0_0, GNS_CRU_<10_0_0","ENG, FRA, WLS",467
NA,GNS_DEF_10-30_0_0,,GNS_DEF_10-30_0_0,"ENG, FRA",147
NA,GNS_DEF_31-39_0_0,,"GNS_DEF_31-49_0_0, GNS_DEF_<40_0_0","ENG, FRA, SCT, WLS",4175
NA,GNS_DEF_40-49_0_0,,GNS_DEF_40-49_0_0,FRA,962
NA,GNS_DEF_50-59_0_0,,"GNS_DEF_50-59_0_0, GNS_DEF_50-70_0_0","DEU, ENG, ESP, FRA, NIR, PRT, SCT, WLS",52533
NA,GNS_DEF_60-69_0_0,,GNS_DEF_60-79_0_0,"ESP, FRA, PRT",106969
NA,GNS_DEF_70-79_0_0,,GNS_DEF_71-89_0_0,"ENG, SCT WLS",1166
NA,GNS_DEF_80-89_0_0,,GNS_DEF_80-99_0_0,"ESP, FRA, PRT",41942
NA,GNS_DEF_90-99_0_0,,GNS_DEF_90-99_0_0,"ENG, FRA, NIR, NLD, SCT, WLS",3938
NA,GNS_DEF_100-119_0_0,,"GNS_DEF_100-119_0_0, GNS_DEF_>=100_0_0","CHA, ENG, ESP, FRA, NIR, PRT, SCT, WLS",85208
NA,GNS_DEF_120-219_0_0,,"GNS_DEF_120-219_0_0, GNS_DEF_>=157_0_0","CHA, ENG, ESP, FRA, IRL, NIR, SCT, WLS",573227
NA,GNS_DEF_>=220_0_0,,GNS_DEF_>=220_0_0,"CHA, DEU, ENG, FRA, IRL, NIR, SCT, WLS",20869
NA,GNS_DEF_>0_0_0,,"GNS_DEF_0_0_0, GNS_DEF_<10_0_0","ENG, FRA, NIR, SCT, WLS",6781
NA,GNS_DWS_10-30_0_0,,GNS_DWS_10-30_0_0,ENG,1
NA,GNS_DWS_31-39_0_0,,GNS_DWS_31-49_0_0,ENG,3
NA,GNS_DWS_40-49_0_0,,,,
NA,GNS_DWS_50-59_0_0,,GNS_DWS_50-70_0_0,ENG,49
NA,GNS_DWS_60-69_0_0,,,,
NA,GNS_DWS_70-79_0_0,,GNS_DWS_71-89_0_0,ENG,40
NA,GNS_DWS_80-89_0_0,,,,
NA,GNS_DWS_90-99_0_0,,GNS_DWS_90-99_0_0,ENG,36
NA,GNS_DWS_100-119_0_0,,"GNS_DWS_100-119_0_0, GNS_DWS_>=100_0_0","ENG, SCT, WLS",210
NA,GNS_DWS_120-219_0_0,,GNS_DWS_120-219_0_0,ENG,424
NA,GNS_DWS_>=220_0_0,,GNS_DWS_>=220_0_0,"ENG, SCT",68
NA,GNS_DWS_>0_0_0,,GNS_DWS_<10_0_0,ENG,2
NA,GNS_SPF_10-30_0_0,,GNS_SPF_10-30_0_0,"ENG, FRA, SCT",2660
NA,GNS_SPF_31-39_0_0,,"GNS_SPF_31-49_0_0, GNS_SPF_<40_0_0","ENG, FRA, WLS",145
NA,GNS_SPF_40-49_0_0,,GNS_SPF_40-49_0_0,FRA,17
NA,GNS_SPF_50-59_0_0,,"GNS_SPF_50-59_0_0, GNS_SPF_50-70_0_0","ENG, FRA, NIR, WLS",887
NA,GNS_SPF_60-69_0_0,,GNS_SPF_60-79_0_0,FRA,319
NA,GNS_SPF_70-79_0_0,,GNS_SPF_71-89_0_0,"ENG, WLS",23
NA,GNS_SPF_80-89_0_0,,GNS_SPF_80-99_0_0,FRA,36
NA,GNS_SPF_90-99_0_0,,GNS_SPF_90-99_0_0,"ENG, WLS",188
NA,GNS_SPF_100-119_0_0,,"GNS_SPF_100-119_0_0, GNS_SPF_>=100_0_0","ENG, FRA, SCT, WLS",3127
NA,GNS_SPF_120-219_0_0,,"GNS_SPF_120-219_0_0, GNS_SPF_>=157_0_0","ENG, FRA, NIR, SCT, WLS",1644
NA,GNS_SPF_>=220_0_0,,GNS_SPF_>=220_0_0,"ENG, FRA, WLS",298
NA,GNS_SPF_>0_0_0,,GNS_SPF_0_0_0,"ENG, FRA",127
NA,GTR_DEF_10-30_0_0,,GTR_DEF_10-30_0_0,"ENG, SCT",19
NA,GTR_DEF_31-39_0_0,,"GTR_DEF_31-49_0_0, GTR_DEF_<40_0_0","FRA, SCT, WLS",976
NA,GTR_DEF_40-49_0_0,,GTR_DEF_40-49_0_0,FRA,196
NA,GTR_DEF_50-59_0_0,,"GTR_DEF_50-59_0_0, GTR_DEF_50-70_0_0","ENG, ESP, FRA",72911
NA,GTR_DEF_60-69_0_0,,GTR_DEF_60-79_0_0,"ESP, FRA",185786
NA,GTR_DEF_70-79_0_0,,"GTR_DEF_71-89_0_0, GTR_DEF_>=70_0_0","PRT, WLS",17
NA,GTR_DEF_80-89_0_0,,"GTR_DEF_80-99_0_0, GTR_DEF_>=80_0_0","FRA, PRT",1353
NA,GTR_DEF_90-99_0_0,,GTR_DEF_90-99_0_0,"ENG, FRA, WLS",1093
NA,GTR_DEF_100-119_0_0,,"GTR_DEF_100-119_0_0, GTR_DEF_>=100_0_0","ENG, FRA, PRT, WLS",211541
NA,GTR_DEF_120-219_0_0,,"GTR_DEF_120-219_0_0, GTR_DEF_>=157_0_0","ENG, FRA, NIR, SCT",5884
NA,GTR_DEF_>=220_0_0,,GTR_DEF_>=220_0_0,"ENG, FRA, WLS",21513
NA,GTR_DEF_>0_0_0,,"GTR_DEF_0_0_0, GTR_DEF_<10_0_0","ENG, FRA, SCT",3374
NA,HMD_MOL_>0_0_0,,"HMD_MOL_>0_0_0, HMD_MOL_0_0_0","ENG, ESP, NIR, SCT, WLS",34844
NA,LHM_CEP_0_0_0,,LHM_CEP_0_0_0,"ESP, PRT",4985
NA,LHM_DWS_0_0_0,,LHM_DWS_0_0_0,ESP,6927
NA,LHM_FIF_0_0_0,,"LHM_FIF_0_0_0, LHM_DEF_0_0_0","ESP, FRA, NLD, PRT",2575
NA,LHM_SPF_0_0_0,,LHM_SPF_0_0_0,ESP,24109
NA,LHP_CEP_0_0_0,,LHP_CEP_0_0_0,"ENG, FRA, NIR, SCT",4070
NA,LHP_FIF_0_0_0,,LHP_FIF_0_0_0,"ENG, FRA, IRL, NIR, NLD, SCT, WLS",113747
NA,LLD_DWS_0_0_0,,LLD_DWS_0_0_0,"ENG, SCT",51
NA,LLD_FIF_0_0_0,,LLD_DEF_0_0_0,"ENG, FRA, NIR, SCT, WLS",7680
NA,LLD_SPF_0_0_0,,LLD_SPF_0_0_0,FRA,39
NA,LLD_LPF_0_0_0,,LLD_LPF_0_0_0,"ENG, FRA, PRT",13669
NA,LLS_DWS_0_0_0,,LLS_DWS_0_0_0,"ENG, ESP, FRA, PRT, SCT",8320
NA,LLS_FIF_0_0_0,,"LLS_FIF_0_0_0, LLS_DEF_0_0_0","ENG, ESP, FRA, IRL, NIR, PRT, SCT, WLS",298504
NA,LTL_LPF_0_0_0,,LTL_LPF_0_0_0,"FRA, SCT, WLS",323
NA,MIS_MIS_0_0_0,,"MIS_MIS_0_0_0, MIS_CRU_0_0_0, MIS_DEF_0_0_0, MIS_FIF_0_0_0, MIS_MOL_0_0_0, No_logbook6, No_Matrix6","DNK, ENG, FRA, IRL, NIR, NLD, PRT, SCT, WLS",4305078
NA,OTB_CRU_<16_0_0,,OTB_CRU_<16_0_0,"ENG, NIR, SCT",162
NA,OTB_CRU_16-31_0_0,,OTB_CRU_16-31_0_0,"ENG, FRA, NIR, SCT",3966
NA,OTB_CRU_32-39_0_0,,"OTB_CRU_32-54_0_0, OTB_CRU_32-69_0_0, OTB_CRU_32-69_2_22","ENG, EST, FRA, NIR, SCT",356
NA,OTB_CRU_40-54_0_0,,OTB_CRU_40-59_0_0,"DEU, DNK, ESP",111
NA,OTB_CRU_55-64_0_0,,"OTB_CRU_55-59_0_0, OTB_CRU_>=55_0_0","PRT, WLS",30814
NA,OTB_CRU_65-69_0_0,,,,
NA,OTB_CRU_70-99_0_0,,"OTB_CRU_70-99_0_0, OTB_CRU_70-89_0_0, OTB_CRU_>=70_0_0","ENG, FRA, IRL, NIR, PRT, SCT, WLS",2241418
NA,OTB_CRU_100-119_0_0,,OTB_CRU_100-119_0_0,"ENG, FRA, IRL, NIR, SCT, WLS",771720
NA,OTB_CRU_>=120_0_0,,OTB_CRU_>=120_0_0,"ENG, FRA, NIR, SCT",263
NA,OTB_CRU_>0_0_0,,OTB_CRU_0_0_0,FRA,1720
NA,OTB_DEF_<16_0_0,,OTB_DEF_<16_0_0,"ENG, FRA, SCT, WLS",127
NA,OTB_DEF_16-31_0_0,,OTB_DEF_16-31_0_0,"ENG, FRA",1596
NA,OTB_DEF_32-39_0_0,,"OTB_DEF_32-54_0_0, OTB_DEF_32-69_0_0","ENG, FRA, SCT",5066
NA,OTB_DEF_40-54_0_0,,,,
NA,OTB_DEF_55-64_0_0,,"OTB_DEF_55-69_0_0, OTB_DEF_>=55_0_0","ESP, FRA, PRT",110078
NA,OTB_DEF_65-69_0_0,,OTB_DEF_65-69_0_0,PRT,12344
NA,OTB_DEF_70-99_0_0,,"OTB_DEF_70-99_0_0, OTB_DEF_70-89_0_0, OTB_DEF_>=70_0_0","CHA, ENG, ESP, FRA, IRL, NIR, NLD, SCT, WLS",1412315
NA,OTB_DEF_100-119_0_0,,"OTB_DEF_100-119_0_0, OTB_DEF_>=110_0_0","BEL, ENG, ESP, FRA, IRL, NIR, SCT, WLS ",4726972
NA,OTB_DEF_>=120_0_0,,"OTB_DEF_>=120_0_0, OTB_DEF_>=220_0_0, OTB_DEF_130-219_0_0, OTB_DEF_130-279_0_0","DEU, ENG, EST, FRA, IRL, NLD, SCT, WLS",6756
NA,OTB_DEF_>0_0_0,,OTB_DEF_0_0_0,FRA,1299
NA,OTB_DWS_<16_0_0,,OTB_DWS_<16_0_0,ENG,1
NA,OTB_DWS_16-31_0_0,,,,
NA,OTB_DWS_32-39_0_0,,,,
NA,OTB_DWS_40-54_0_0,,,,
NA,OTB_DWS_55-64_0_0,,,,
NA,OTB_DWS_65-69_0_0,,,,
NA,OTB_DWS_70-99_0_0,,"OTB_DWS_70-99_0_0, OTB_DWS_>=70_0_0","ENG, FRA",85
NA,OTB_DWS_100-119_0_0,,"OTB_DWS_100-119_0_0, OTB_DWS_100-129_0_0","ENG, ESP, FRA, IRL, SCT",2842
NA,OTB_DWS_>=120_0_0,,OTB_DWS_>=120_0_0,"FRA, LTU, SCT",2606
NA,OTB_DWS_>0_0_0,,,,
NA,OTB_MCD_<16_0_0,,,,
NA,OTB_MCD_16-31_0_0,,,,
NA,OTB_MCD_32-39_0_0,,,,
NA,OTB_MCD_40-54_0_0,,,,
NA,OTB_MCD_55-64_0_0,,OTB_MCD_>=55_0_0,ESP,90958
NA,OTB_MCD_65-69_0_0,,,,
NA,OTB_MCD_70-99_0_0,,"OTB_MCD_70-99_0_0, OTB_MCD_>=70_0_0","BEL, NLD",1499
NA,OTB_MCD_100-119_0_0,,,,
NA,OTB_MCD_>=120_0_0,,,,
NA,OTB_MCD_>0_0_0,,,,
NA,OTB_MCF_<16_0_0,,,,
NA,OTB_MCF_16-31_0_0,,,,
NA,OTB_MCF_32-39_0_0,,,,
NA,OTB_MCF_40-54_0_0,,,,
NA,OTB_MCF_55-64_0_0,,,,
NA,OTB_MCF_65-69_0_0,,,,
NA,OTB_MCF_70-99_0_0,,OTB_MCF_>=70_0_0,ESP,194
NA,OTB_MCF_100-119_0_0,,,,
NA,OTB_MCF_>=120_0_0,,OTB_MCF_>=120_0_0,IRL,3996
NA,OTB_MCF_>0_0_0,,,,
NA,OTB_MDD_<16_0_0,,,,
NA,OTB_MDD_16-31_0_0,,,,
NA,OTB_MDD_32-39_0_0,,,,
NA,OTB_MDD_40-54_0_0,,,,
NA,OTB_MDD_55-64_0_0,,,,
NA,OTB_MDD_65-69_0_0,,,,
NA,OTB_MDD_70-99_0_0,,,,
NA,OTB_MDD_100-119_0_0,,,,
NA,OTB_MDD_>=120_0_0,,"OTB_MDD_>=200_0_0, OTB_MDD_>=220_0_0, OTB_MDD_130-219_0_0, OTB_MDD_130_0_0","ESP, LTU, PRT",673
NA,OTB_MDD_>0_0_0,,,,
NA,OTB_MOL_<16_0_0,,OTB_MOL_<16_0_0,"ENG, SCT, WLS",23
NA,OTB_MOL_16-31_0_0,,OTB_MOL_16-31_0_0,"ENG, FRA",27
NA,OTB_MOL_32-39_0_0,,"OTB_MOL_32-54_0_0, OTB_MOL_32-69_0_0","ENG, FRA, NIR, SCT, WLS",503
NA,OTB_MOL_40-54_0_0,,,,
NA,OTB_MOL_55-64_0_0,,,,
NA,OTB_MOL_65-69_0_0,,,,
NA,OTB_MOL_70-99_0_0,,"OTB_MOL_70-99_0_0, OTB_MOL_70-89_0_0, OTB_MOL_>=70_0_0","CHA, ENG, FRA, NIR, SCT, WLS",54072
NA,OTB_MOL_100-119_0_0,,OTB_MOL_100-119_0_0,"ENG, FRA, NIR, SCT, WLS",2805
NA,OTB_MOL_>=120_0_0,,OTB_MOL_>=120_0_0,"ENG, SCT",217
NA,OTB_MOL_>0_0_0,,OTB_MOL_0_0_0,FRA,36
NA,OTB_MPD_<16_0_0,,,,
NA,OTB_MPD_16-31_0_0,,,,
NA,OTB_MPD_32-39_0_0,,,,
NA,OTB_MPD_40-54_0_0,,,,
NA,OTB_MPD_55-64_0_0,,OTB_MPD_>=55_0_0,ESP,11800
NA,OTB_MPD_65-69_0_0,,,,
NA,OTB_MPD_70-99_0_0,,OTB_MPD_>=70_0_0,ESP,26
NA,OTB_MPD_100-119_0_0,,,,
NA,OTB_MPD_>=120_0_0,,,,
NA,OTB_MPD_>0_0_0,,,,
NA,OTB_SPF_<16_0_0,,OTB_SPF_<16_0_0,"ENG, FRA, SCT",6
NA,OTB_SPF_16-31_0_0,,OTB_SPF_16-31_0_0,"ENG, FRA, IRL",483
NA,OTB_SPF_32-39_0_0,,"OTB_SPF_32-54_0_0, OTB_SPF_32-69_0_0","DNK, ENG, FRA, IRL, SCT",383
NA,OTB_SPF_40-54_0_0,,,,
NA,OTB_SPF_55-64_0_0,,OTB_SPF_>=55_0_0,ESP,3
NA,OTB_SPF_65-69_0_0,,,,
NA,OTB_SPF_70-99_0_0,,"OTB_SPF_70-99_0_0, OTB_SPF_70-89_0_0, OTB_SPF_>=70_0_0","CHA, ENG, ESP, FRA, NIR, SCT, WLS",3831
NA,OTB_SPF_100-119_0_0,,OTB_SPF_100-119_0_0,"ENG, FRA, SCT, WLS",55
NA,OTB_SPF_>=120_0_0,,OTB_SPF_>=120_0_0,WLS,8
NA,OTB_SPF_>0_0_0,,OTB_SPF_0_0_0,"FRA, IRL",26
NA,OTT_CRU_<16_0_0,,OTT_CRU_<16_0_0,SCT,7
NA,OTT_CRU_16-31_0_0,,OTT_CRU_16-31_0_0,FRA ,96
NA,OTT_CRU_32-39_0_0,,"OTT_CRU_32-54_0_0, OTT_CRU_32-69_0_0","FRA, SCT",394
NA,OTT_CRU_40-54_0_0,,,,
NA,OTT_CRU_55-64_0_0,,,,
NA,OTT_CRU_65-69_0_0,,,,
NA,OTT_CRU_70-99_0_0,,"OTT_CRU_70-99_0_0, OTT_CRU_70-89_0_0, OTT_CRU_>=70_0_0","ENG, FRA, NIR, SCT",107385
NA,OTT_CRU_100-119_0_0,,OTT_CRU_100-119_0_0,"FRA, NIR, SCT",3479
NA,OTT_CRU_>=120_0_0,,OTT_CRU_>=120_0_0,SCT,30
NA,OTT_CRU_>0_0_0,,OTT_CRU_0_0_0,FRA ,1324
NA,OTT_DEF_<16_0_0,,OTT_DEF_<16_0_0,ENG ,3
NA,OTT_DEF_16-31_0_0,,OTT_DEF_16-31_0_0,FRA,15
NA,OTT_DEF_32-39_0_0,,"OTT_DEF_32-54_0_0, OTT_DEF_32-69_0_0","ENG, FRA ",567
NA,OTT_DEF_40-54_0_0,,,,
NA,OTT_DEF_55-64_0_0,,OTT_DEF_55-69_0_0,FRA,37
NA,OTT_DEF_65-69_0_0,,,,
NA,OTT_DEF_70-99_0_0,,"OTT_DEF_70-99_0_0, OTT_DEF_70-89_0_0, OTT_DEF_>=70_0_0","ENG, FRA, NIR, NLD, SCT, WLS",44503
NA,OTT_DEF_100-119_0_0,,OTT_DEF_100-119_0_0,"ENG, FRA, NIR, SCT ",25784
NA,OTT_DEF_>=120_0_0,,OTT_DEF_>=120_0_0,"ENG, SCT",723
NA,OTT_DEF_>0_0_0,,OTT_DEF_0_0_0,FRA,529
NA,OTT_DWS_<16_0_0,,,,
NA,OTT_DWS_16-31_0_0,,,,
NA,OTT_DWS_32-39_0_0,,,,
NA,OTT_DWS_40-54_0_0,,,,
NA,OTT_DWS_55-64_0_0,,,,
NA,OTT_DWS_65-69_0_0,,,,
NA,OTT_DWS_70-99_0_0,,OTT_DWS_70-99_0_0,ENG,1
NA,OTT_DWS_100-119_0_0,,OTT_DWS_100-119_0_0,FRA,120
NA,OTT_DWS_>=120_0_0,,OTT_DWS_>=120_0_0,SCT,2
NA,OTT_DWS_>0_0_0,,,,
NA,OTT_MOL_<16_0_0,,OTT_MOL_<16_0_0,ENG,1
NA,OTT_MOL_16-31_0_0,,,,
NA,OTT_MOL_32-39_0_0,,,,
NA,OTT_MOL_40-54_0_0,,,,
NA,OTT_MOL_55-64_0_0,,,,
NA,OTT_MOL_65-69_0_0,,,,
NA,OTT_MOL_70-99_0_0,,"OTT_MOL_70-99_0_0, OTT_MOL_>=70_0_0","ENG, FRA, SCT",4224
NA,OTT_MOL_100-119_0_0,,OTT_MOL_100-119_0_0,"ENG, SCT",93
NA,OTT_MOL_>=120_0_0,,OTT_MOL_>=120_0_0,SCT,34
NA,OTT_MOL_>0_0_0,,,,
NA,PTB_CRU_<16_0_0,,,,
NA,PTB_CRU_16-31_0_0,,,,
NA,PTB_CRU_32-39_0_0,,PTB_CRU_32-69_0_0,"ENG, SCT",3
NA,PTB_CRU_40-54_0_0,,,,
NA,PTB_CRU_55-64_0_0,,,,
NA,PTB_CRU_65-69_0_0,,,,
NA,PTB_CRU_70-99_0_0,,PTB_CRU_70-99_0_0,SCT,9
NA,PTB_CRU_100-119_0_0,,PTB_CRU_100-119_0_0,ENG,1
NA,PTB_CRU_>=120_0_0,,PTB_CRU_>=120_0_0,SCT,8
NA,PTB_CRU_>0_0_0,,,,
NA,PTB_DEF_<16_0_0,,,,
NA,PTB_DEF_16-31_0_0,,,,
NA,PTB_DEF_32-39_0_0,,,,
NA,PTB_DEF_40-54_0_0,,,,
NA,PTB_DEF_55-64_0_0,,,,
NA,PTB_DEF_65-69_0_0,,,,
NA,PTB_DEF_70-99_0_0,,"PTB_DEF_70-99_0_0, PTB_DEF_70-89_0_0, PTB_DEF_>=70_0_0","ENG, ESP, FRA, SCT",2830
NA,PTB_DEF_100-119_0_0,,PTB_DEF_100-119_0_0,"ENG, FRA, NIR, SCT",81
NA,PTB_DEF_>=120_0_0,,PTB_DEF_>=120_0_0,"ENG, FRA, NLD, SCT",423
NA,PTB_DEF_>0_0_0,,,,
NA,PTB_MPD_<16_0_0,,,,
NA,PTB_MPD_16-31_0_0,,,,
NA,PTB_MPD_32-39_0_0,,,,
NA,PTB_MPD_40-54_0_0,,,,
NA,PTB_MPD_55-64_0_0,,PTB_MPD_>=55_0_0,ESP,22509
NA,PTB_MPD_65-69_0_0,,,,
NA,PTB_MPD_70-99_0_0,,,,
NA,PTB_MPD_100-119_0_0,,,,
NA,PTB_MPD_>=120_0_0,,,,
NA,PTB_MPD_>0_0_0,,,,
NA,PTB_SPF_<16_0_0,,PTB_SPF_<16_0_0,SCT,1
NA,PTB_SPF_16-31_0_0,,,,
NA,PTB_SPF_32-39_0_0,,PTB_SPF_32-69_0_0,"ENG, SCT",6
NA,PTB_SPF_40-54_0_0,,,,
NA,PTB_SPF_55-64_0_0,,,,
NA,PTB_SPF_65-69_0_0,,,,
NA,PTB_SPF_70-99_0_0,,,,
NA,PTB_SPF_100-119_0_0,,,,
NA,PTB_SPF_>=120_0_0,,PTB_SPF_>=120_0_0,SCT,3
NA,PTB_SPF_>0_0_0,,,,
NA,TBB_CRU_<16_0_0,,TBB_CRU_<16_0_0,NIR,1
